Treebank,Encoding,Language Model,In training data,Random,Task,UAS,LAS,CLAS,MLAS,BLEX,POS,1-deptag,Arc,1-plane,2-plane,Deprel
UD_Bulgarian-BTB,2-planar-brackets-greedy,xlm-roberta-base,True,True,single,33.9,23.49,17.68,0.19,0.0,70.63,42.73,nan,nan,nan,nan
UD_Bulgarian-BTB,absolute,bert-base-multilingual-cased,True,True,multi,14.33,9.15,8.09,0.17,0.0,71.11,nan,26.31,nan,nan,61.51
UD_Bulgarian-BTB,2-planar-brackets-greedy,bert-base-multilingual-cased,True,False,multi,63.81,55.9,50.11,0.46,0.0,96.28,nan,nan,65.92,99.69,83.45
UD_Bulgarian-BTB,relative,bert-base-multilingual-cased,True,False,single,54.35,48.59,45.23,0.67,0.0,96.29,55.89,nan,nan,nan,nan
UD_Bulgarian-BTB,relative,xlm-roberta-base,True,True,single,32.84,26.75,18.51,0.29,0.0,70.67,37.36,nan,nan,nan,nan
UD_Bulgarian-BTB,relative,bert-base-multilingual-cased,True,False,multi,49.92,43.59,39.86,0.32,0.0,96.27,nan,55.96,nan,nan,83.5
UD_Bulgarian-BTB,2-planar-brackets-greedy,xlm-roberta-base,True,True,multi,32.67,21.64,15.08,0.13,0.0,70.76,nan,nan,49.39,99.67,61.32
UD_Bulgarian-BTB,absolute,bert-base-multilingual-cased,True,False,single,23.68,16.97,17.2,0.23,0.0,96.28,29.36,nan,nan,nan,nan
UD_Bulgarian-BTB,absolute,xlm-roberta-base,True,True,single,11.58,6.7,5.07,0.13,0.0,70.71,25.6,nan,nan,nan,nan
UD_Bulgarian-BTB,absolute,bert-base-multilingual-cased,True,False,multi,28.75,23.08,25.54,0.29,0.0,96.31,nan,29.86,nan,nan,83.5
UD_Bulgarian-BTB,relative,xlm-roberta-base,True,True,multi,33.02,23.05,13.11,0.19,0.0,70.72,nan,41.07,nan,nan,61.35
UD_Bulgarian-BTB,2-planar-brackets-greedy,xlm-roberta-base,True,False,single,59.41,48.77,42.34,0.38,0.0,96.7,54.22,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,2-planar-brackets-greedy,bert-base-multilingual-cased,False,True,single,10.01,5.74,4.76,0.27,0.0,60.44,28.9,nan,nan,nan,nan
UD_Bulgarian-BTB,2-planar-brackets-greedy,xlm-roberta-base,True,False,multi,58.38,49.58,45.29,0.31,0.0,96.69,nan,nan,60.23,99.67,80.89
UD_Bulgarian-BTB,absolute,xlm-roberta-base,True,True,multi,14.98,9.18,7.86,0.14,0.0,70.54,nan,26.64,nan,nan,61.24
UD_Bulgarian-BTB,relative,xlm-roberta-base,True,False,single,45.98,39.35,36.03,0.44,0.0,96.75,47.61,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,relative,bert-base-multilingual-cased,False,True,single,24.32,16.04,7.18,0.59,0.0,60.46,27.11,nan,nan,nan,nan
UD_Bulgarian-BTB,relative,xlm-roberta-base,True,False,multi,46.7,39.25,36.59,0.34,0.0,96.7,nan,50.16,nan,nan,80.88
UD_Ancient_Greek-Perseus,2-planar-brackets-greedy,bert-base-multilingual-cased,False,True,multi,12.55,7.06,5.47,0.34,0.0,60.39,nan,nan,38.97,88.73,52.05
UD_Bulgarian-BTB,absolute,xlm-roberta-base,True,False,single,13.11,8.13,6.99,0.16,0.0,96.65,25.52,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,absolute,bert-base-multilingual-cased,False,True,single,10.19,4.8,3.07,0.32,0.0,60.43,20.58,nan,nan,nan,nan
UD_Bulgarian-BTB,absolute,xlm-roberta-base,True,False,multi,29.27,22.09,23.73,0.28,0.0,96.68,nan,28.97,nan,nan,80.76
UD_Ancient_Greek-Perseus,2-planar-brackets-greedy,bert-base-multilingual-cased,False,False,single,27.54,18.11,12.63,1.14,0.0,71.52,34.51,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,relative,bert-base-multilingual-cased,False,True,multi,26.81,16.71,7.62,0.65,0.0,60.44,nan,35.41,nan,nan,51.86
UD_Ancient_Greek-Perseus,2-planar-brackets-greedy,xlm-roberta-base,False,True,single,13.43,7.46,6.0,0.55,0.0,63.37,29.29,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,2-planar-brackets-greedy,bert-base-multilingual-cased,False,False,multi,32.08,20.77,15.81,1.54,0.0,71.66,nan,nan,42.58,88.73,61.55
UD_Ancient_Greek-Perseus,relative,bert-base-multilingual-cased,False,False,single,29.0,21.09,12.13,1.02,0.0,71.54,31.78,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,absolute,bert-base-multilingual-cased,False,True,multi,10.67,5.89,5.0,0.31,0.0,60.37,nan,21.96,nan,nan,52.06
UD_Ancient_Greek-Perseus,relative,xlm-roberta-base,False,True,single,25.09,16.71,7.98,0.91,0.0,63.31,28.05,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,relative,bert-base-multilingual-cased,False,False,multi,30.53,20.78,12.24,1.07,0.0,71.52,nan,39.04,nan,nan,61.5
UD_Ancient_Greek-Perseus,absolute,bert-base-multilingual-cased,False,False,single,13.31,7.09,5.86,0.68,0.0,71.51,21.24,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,2-planar-brackets-greedy,xlm-roberta-base,False,True,multi,15.87,8.9,6.89,0.66,0.0,63.18,nan,nan,38.63,88.42,53.99
UD_Ancient_Greek-Perseus,absolute,bert-base-multilingual-cased,False,False,multi,19.71,12.04,12.25,1.3,0.0,71.72,nan,24.19,nan,nan,61.64
UD_Ancient_Greek-Perseus,absolute,xlm-roberta-base,False,True,single,11.2,5.34,3.72,0.57,0.0,63.25,22.1,nan,nan,nan,nan
UD_Armenian-ArmTDP,2-planar-brackets-greedy,bert-base-multilingual-cased,True,True,single,21.74,11.96,6.44,0.36,0.0,62.98,32.77,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,2-planar-brackets-greedy,xlm-roberta-base,False,False,single,25.06,16.52,13.14,1.44,0.0,78.42,32.9,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,relative,xlm-roberta-base,False,True,multi,26.95,17.5,8.4,0.8,0.0,63.22,nan,35.14,nan,nan,53.97
UD_Armenian-ArmTDP,relative,bert-base-multilingual-cased,True,True,single,33.53,18.89,12.24,0.46,0.0,63.16,27.35,nan,nan,nan,nan
UD_Armenian-ArmTDP,absolute,bert-base-multilingual-cased,True,True,single,6.06,2.54,1.76,0.06,0.0,63.3,16.81,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,2-planar-brackets-greedy,xlm-roberta-base,False,False,multi,33.44,22.72,19.33,2.03,0.0,78.43,nan,nan,41.3,88.74,65.27
UD_Armenian-ArmTDP,2-planar-brackets-greedy,xlm-roberta-base,True,True,single,23.67,13.78,8.85,0.35,0.0,62.34,33.34,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,relative,xlm-roberta-base,False,False,single,29.24,21.44,12.3,1.38,0.0,78.46,30.62,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,absolute,xlm-roberta-base,False,True,multi,12.83,6.98,6.12,0.57,0.0,63.1,nan,24.44,nan,nan,54.03
UD_Armenian-ArmTDP,relative,xlm-roberta-base,True,True,single,32.89,19.32,13.8,0.31,0.0,62.76,27.63,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,relative,xlm-roberta-base,False,False,multi,31.64,23.16,14.49,1.46,0.0,78.51,nan,37.46,nan,nan,65.21
UD_Armenian-ArmTDP,2-planar-brackets-greedy,bert-base-multilingual-cased,True,True,multi,14.54,8.52,5.36,0.4,0.0,63.25,nan,nan,45.82,99.14,49.46
UD_Armenian-ArmTDP,absolute,xlm-roberta-base,True,True,single,7.05,2.88,2.29,0.06,0.0,62.67,17.14,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,absolute,xlm-roberta-base,False,False,single,11.82,5.62,4.17,0.66,0.0,78.43,20.75,nan,nan,nan,nan
UD_Armenian-ArmTDP,relative,bert-base-multilingual-cased,True,True,multi,33.74,15.18,8.56,0.43,0.0,63.05,nan,41.02,nan,nan,49.9
UD_Turkish-BOUN,2-planar-brackets-greedy,bert-base-multilingual-cased,True,True,single,35.28,20.09,12.74,1.39,0.0,68.36,36.5,nan,nan,nan,nan
UD_Armenian-ArmTDP,2-planar-brackets-greedy,bert-base-multilingual-cased,True,False,single,46.48,32.98,26.34,2.48,0.0,86.12,45.63,nan,nan,nan,nan
UD_Armenian-ArmTDP,absolute,bert-base-multilingual-cased,True,True,multi,9.21,5.01,3.87,0.06,0.0,62.98,nan,19.99,nan,nan,49.97
UD_Ancient_Greek-Perseus,absolute,xlm-roberta-base,False,False,multi,23.69,14.95,15.93,1.82,0.0,78.31,nan,23.98,nan,nan,65.22
UD_Turkish-BOUN,relative,bert-base-multilingual-cased,True,True,single,41.5,25.07,15.48,2.72,0.0,68.48,35.74,nan,nan,nan,nan
UD_Armenian-ArmTDP,relative,bert-base-multilingual-cased,True,False,single,42.28,32.69,26.15,2.73,0.0,85.95,39.44,nan,nan,nan,nan
UD_Armenian-ArmTDP,2-planar-brackets-greedy,bert-base-multilingual-cased,True,False,multi,43.75,32.19,27.63,2.58,0.0,86.19,nan,nan,55.61,99.46,70.38
UD_Armenian-ArmTDP,2-planar-brackets-greedy,xlm-roberta-base,True,True,multi,12.93,7.53,5.18,0.35,0.0,62.55,nan,nan,45.72,99.46,51.08
UD_Turkish-BOUN,absolute,bert-base-multilingual-cased,True,True,single,7.59,3.65,2.72,0.38,0.0,68.41,25.82,nan,nan,nan,nan
UD_Armenian-ArmTDP,absolute,bert-base-multilingual-cased,True,False,single,6.99,3.99,2.38,0.18,0.0,86.32,17.56,nan,nan,nan,nan
UD_Armenian-ArmTDP,relative,bert-base-multilingual-cased,True,False,multi,41.46,30.91,25.25,3.01,0.0,86.37,nan,45.91,nan,nan,70.39
UD_Armenian-ArmTDP,relative,xlm-roberta-base,True,True,multi,33.86,16.05,10.58,0.37,0.0,62.58,nan,40.04,nan,nan,50.73
UD_Armenian-ArmTDP,absolute,bert-base-multilingual-cased,True,False,multi,18.54,13.55,12.1,0.5,0.0,86.35,nan,20.99,nan,nan,70.36
UD_Turkish-BOUN,2-planar-brackets-greedy,xlm-roberta-base,True,True,single,35.94,19.92,12.32,1.49,0.0,66.04,37.22,nan,nan,nan,nan
UD_Armenian-ArmTDP,2-planar-brackets-greedy,xlm-roberta-base,True,False,single,29.54,20.75,16.25,1.19,0.0,78.85,38.36,nan,nan,nan,nan
UD_Armenian-ArmTDP,absolute,xlm-roberta-base,True,True,multi,8.98,5.38,4.23,0.03,0.0,62.43,nan,19.68,nan,nan,50.93
UD_Armenian-ArmTDP,2-planar-brackets-greedy,xlm-roberta-base,True,False,multi,25.9,18.51,18.13,0.44,0.0,79.26,nan,nan,45.79,99.46,67.44
UD_Turkish-BOUN,relative,xlm-roberta-base,True,True,single,40.58,24.85,15.33,2.58,0.0,65.96,35.7,nan,nan,nan,nan
UD_Turkish-BOUN,2-planar-brackets-greedy,bert-base-multilingual-cased,True,True,multi,33.58,18.54,10.8,1.66,0.0,68.38,nan,nan,49.65,99.59,52.68
UD_Armenian-ArmTDP,relative,xlm-roberta-base,True,False,single,35.58,24.56,16.73,1.17,0.0,78.78,32.7,nan,nan,nan,nan
UD_Armenian-ArmTDP,relative,xlm-roberta-base,True,False,multi,42.86,26.73,24.65,1.51,0.0,78.89,nan,41.12,nan,nan,67.58
UD_Turkish-BOUN,absolute,xlm-roberta-base,True,True,single,7.0,3.36,2.4,0.34,0.0,66.08,25.89,nan,nan,nan,nan
UD_Turkish-BOUN,relative,bert-base-multilingual-cased,True,True,multi,40.21,22.7,12.96,2.64,0.0,68.04,nan,50.39,nan,nan,52.95
UD_Ligurian-GLT,2-planar-brackets-greedy,bert-base-multilingual-cased,False,True,single,2.88,1.01,1.5,0.0,0.0,51.58,27.4,nan,nan,nan,nan
UD_Armenian-ArmTDP,absolute,xlm-roberta-base,True,False,single,5.59,1.94,1.47,0.0,0.0,78.98,15.78,nan,nan,nan,nan
UD_Ligurian-GLT,relative,bert-base-multilingual-cased,False,True,single,27.06,15.45,0.6,0.0,0.0,52.77,22.3,nan,nan,nan,nan
UD_Armenian-ArmTDP,absolute,xlm-roberta-base,True,False,multi,20.77,14.92,13.42,0.06,0.0,78.66,nan,19.57,nan,nan,67.2
UD_Turkish-BOUN,absolute,bert-base-multilingual-cased,True,True,multi,11.93,6.29,4.53,0.35,0.0,68.28,nan,31.0,nan,nan,52.79
UD_Ligurian-GLT,absolute,bert-base-multilingual-cased,False,True,single,3.26,0.96,1.01,0.0,0.0,51.06,12.23,nan,nan,nan,nan
UD_Turkish-BOUN,2-planar-brackets-greedy,bert-base-multilingual-cased,True,False,single,54.89,43.24,38.85,4.66,0.0,86.09,52.37,nan,nan,nan,nan
UD_Turkish-BOUN,2-planar-brackets-greedy,bert-base-multilingual-cased,True,False,multi,54.59,43.19,39.08,4.49,0.0,86.1,nan,nan,60.51,99.67,74.77
UD_Ligurian-GLT,2-planar-brackets-greedy,xlm-roberta-base,False,True,single,2.83,0.96,1.36,0.0,0.0,49.91,25.42,nan,nan,nan,nan
UD_Turkish-BOUN,relative,bert-base-multilingual-cased,True,False,single,48.66,40.83,34.83,5.19,0.0,86.07,49.45,nan,nan,nan,nan
UD_Turkish-BOUN,2-planar-brackets-greedy,xlm-roberta-base,True,True,multi,30.45,16.95,9.14,1.56,0.0,65.97,nan,nan,49.56,99.65,52.94
UD_Turkish-BOUN,relative,bert-base-multilingual-cased,True,False,multi,50.52,40.76,35.46,5.24,0.0,86.15,nan,54.92,nan,nan,74.7
UD_Ligurian-GLT,relative,xlm-roberta-base,False,True,single,26.68,14.78,1.02,0.0,0.0,50.35,21.5,nan,nan,nan,nan
UD_Turkish-BOUN,absolute,bert-base-multilingual-cased,True,False,single,15.19,10.24,9.44,1.19,0.0,86.14,27.79,nan,nan,nan,nan
UD_Turkish-BOUN,absolute,bert-base-multilingual-cased,True,False,multi,27.73,21.74,19.84,1.37,0.0,86.22,nan,30.63,nan,nan,74.86
UD_Turkish-BOUN,relative,xlm-roberta-base,True,True,multi,37.6,21.3,12.01,2.44,0.0,65.93,nan,49.9,nan,nan,52.92
UD_Ligurian-GLT,absolute,xlm-roberta-base,False,True,single,5.76,1.39,1.9,0.0,0.0,50.13,11.48,nan,nan,nan,nan
UD_Vietnamese-VTB,2-planar-brackets-greedy,bert-base-multilingual-cased,True,True,single,24.58,12.25,10.81,5.36,0.0,67.55,32.62,nan,nan,nan,nan
UD_Turkish-BOUN,2-planar-brackets-greedy,xlm-roberta-base,True,False,single,52.13,40.12,36.35,3.82,0.0,86.2,49.47,nan,nan,nan,nan
UD_Vietnamese-VTB,relative,bert-base-multilingual-cased,True,True,single,25.35,12.0,12.22,5.6,0.0,67.72,31.11,nan,nan,nan,nan
UD_Turkish-BOUN,absolute,xlm-roberta-base,True,True,multi,10.95,5.71,4.22,0.52,0.0,65.99,nan,31.26,nan,nan,52.78
UD_Turkish-BOUN,2-planar-brackets-greedy,xlm-roberta-base,True,False,multi,53.15,42.17,39.0,4.42,0.0,86.13,nan,nan,58.45,99.67,74.48
UD_Ligurian-GLT,2-planar-brackets-greedy,bert-base-multilingual-cased,False,True,multi,4.61,2.21,2.56,0.0,0.0,51.67,nan,nan,45.03,95.78,42.3
UD_Vietnamese-VTB,absolute,bert-base-multilingual-cased,True,True,single,10.53,4.9,3.19,1.27,0.0,67.67,20.81,nan,nan,nan,nan
UD_Turkish-BOUN,relative,xlm-roberta-base,True,False,single,41.48,34.68,27.4,4.6,0.0,86.25,46.43,nan,nan,nan,nan
UD_Ligurian-GLT,relative,bert-base-multilingual-cased,False,True,multi,28.79,15.69,3.45,0.41,0.0,53.25,nan,34.43,nan,nan,40.85
UD_Turkish-BOUN,relative,xlm-roberta-base,True,False,multi,50.8,40.77,36.0,5.3,0.0,86.19,nan,53.18,nan,nan,74.57
UD_Vietnamese-VTB,2-planar-brackets-greedy,xlm-roberta-base,True,True,single,23.44,11.07,9.75,5.15,0.0,66.13,32.23,nan,nan,nan,nan
UD_Ligurian-GLT,absolute,bert-base-multilingual-cased,False,True,multi,4.99,2.26,2.79,0.0,0.0,52.37,nan,15.39,nan,nan,41.91
UD_Turkish-BOUN,absolute,xlm-roberta-base,True,False,single,5.86,3.32,2.75,0.63,0.0,86.15,25.1,nan,nan,nan,nan
UD_Vietnamese-VTB,relative,xlm-roberta-base,True,True,single,25.14,11.16,11.47,5.59,0.0,66.29,30.37,nan,nan,nan,nan
UD_Turkish-BOUN,absolute,xlm-roberta-base,True,False,multi,27.5,21.03,19.59,1.4,0.0,86.04,nan,31.21,nan,nan,74.47
UD_Ligurian-GLT,2-planar-brackets-greedy,bert-base-multilingual-cased,False,False,single,5.37,3.02,1.76,0.14,0.0,68.56,32.76,nan,nan,nan,nan
UD_Ligurian-GLT,2-planar-brackets-greedy,xlm-roberta-base,False,True,multi,5.52,2.64,3.76,0.14,0.0,50.44,nan,nan,42.66,95.07,41.16
UD_Ligurian-GLT,2-planar-brackets-greedy,bert-base-multilingual-cased,False,False,multi,11.76,6.86,4.8,0.65,0.0,70.4,nan,nan,46.0,97.71,52.77
UD_Ligurian-GLT,relative,bert-base-multilingual-cased,False,False,single,31.72,19.24,2.8,0.0,0.0,67.85,25.11,nan,nan,nan,nan
UD_Vietnamese-VTB,absolute,xlm-roberta-base,True,True,single,9.76,4.42,3.15,1.35,0.0,66.26,20.58,nan,nan,nan,nan
UD_Ligurian-GLT,relative,xlm-roberta-base,False,True,multi,27.35,14.35,3.91,0.13,0.0,52.24,nan,32.5,nan,nan,40.85
UD_Ligurian-GLT,relative,bert-base-multilingual-cased,False,False,multi,32.68,22.6,6.36,0.86,0.0,69.7,nan,37.99,nan,nan,52.86
UD_Ligurian-GLT,absolute,bert-base-multilingual-cased,False,False,single,2.83,0.96,0.6,0.0,0.0,66.8,12.8,nan,nan,nan,nan
UD_Basque-BDT,2-planar-brackets-greedy,bert-base-multilingual-cased,True,True,single,28.03,17.22,10.93,0.83,0.0,66.95,34.18,nan,nan,nan,nan
UD_Ligurian-GLT,absolute,bert-base-multilingual-cased,False,False,multi,8.97,4.56,5.37,0.68,0.0,68.51,nan,12.62,nan,nan,51.54
UD_Ligurian-GLT,absolute,xlm-roberta-base,False,True,multi,3.12,1.39,1.98,0.14,0.0,50.31,nan,16.18,nan,nan,40.55
UD_Ligurian-GLT,2-planar-brackets-greedy,xlm-roberta-base,False,False,single,32.77,8.25,3.31,0.0,0.0,36.76,12.14,nan,nan,nan,nan
UD_Basque-BDT,relative,bert-base-multilingual-cased,True,True,single,27.56,18.78,12.81,1.18,0.0,66.89,32.01,nan,nan,nan,nan
UD_Vietnamese-VTB,2-planar-brackets-greedy,bert-base-multilingual-cased,True,True,multi,24.56,13.75,10.55,5.06,0.0,67.6,nan,nan,42.16,99.23,50.47
UD_Basque-BDT,absolute,bert-base-multilingual-cased,True,True,single,8.72,4.03,3.09,0.22,0.0,66.98,23.17,nan,nan,nan,nan
UD_Ligurian-GLT,2-planar-brackets-greedy,xlm-roberta-base,False,False,multi,2.5,1.39,1.35,0.0,0.0,30.52,nan,nan,30.26,91.64,36.15
UD_Vietnamese-VTB,relative,bert-base-multilingual-cased,True,True,multi,26.21,11.69,11.52,5.82,0.0,67.55,nan,42.57,nan,nan,50.34
UD_Ligurian-GLT,relative,xlm-roberta-base,False,False,single,28.69,6.09,3.77,0.0,0.0,34.21,6.46,nan,nan,nan,nan
UD_Vietnamese-VTB,absolute,bert-base-multilingual-cased,True,True,multi,13.76,7.99,5.92,2.59,0.0,67.44,nan,24.98,nan,nan,49.94
UD_Basque-BDT,2-planar-brackets-greedy,xlm-roberta-base,True,True,single,26.75,16.46,11.18,0.96,0.0,65.64,34.22,nan,nan,nan,nan
UD_Ligurian-GLT,relative,xlm-roberta-base,False,False,multi,16.22,1.39,0.0,0.0,0.0,46.35,nan,20.1,nan,nan,17.41
UD_Ligurian-GLT,absolute,xlm-roberta-base,False,False,single,2.83,1.3,1.75,0.0,0.0,37.95,0.88,nan,nan,nan,nan
UD_Vietnamese-VTB,2-planar-brackets-greedy,xlm-roberta-base,True,True,multi,23.18,11.74,9.19,4.58,0.0,66.33,nan,nan,41.3,99.34,49.15
UD_Vietnamese-VTB,2-planar-brackets-greedy,bert-base-multilingual-cased,True,False,single,37.22,26.96,24.82,17.02,0.0,84.32,41.56,nan,nan,nan,nan
UD_Basque-BDT,relative,xlm-roberta-base,True,True,single,25.83,17.78,11.64,1.04,0.0,65.68,31.43,nan,nan,nan,nan
UD_Ligurian-GLT,absolute,xlm-roberta-base,False,False,multi,2.59,1.2,1.79,0.0,0.0,39.93,nan,8.18,nan,nan,25.07
UD_Vietnamese-VTB,relative,bert-base-multilingual-cased,True,False,single,29.23,20.74,23.3,17.15,0.0,84.34,41.13,nan,nan,nan,nan
UD_Vietnamese-VTB,relative,xlm-roberta-base,True,True,multi,26.28,11.48,11.43,6.03,0.0,66.02,nan,42.19,nan,nan,49.58
UD_Vietnamese-VTB,2-planar-brackets-greedy,bert-base-multilingual-cased,True,False,multi,41.36,29.82,25.44,15.92,0.0,84.5,nan,nan,49.98,99.51,64.92
UD_Basque-BDT,absolute,xlm-roberta-base,True,True,single,8.59,4.04,3.0,0.22,0.0,65.6,23.2,nan,nan,nan,nan
UD_Vietnamese-VTB,absolute,bert-base-multilingual-cased,True,False,single,13.32,6.68,4.36,2.39,0.0,84.39,21.45,nan,nan,nan,nan
UD_Vietnamese-VTB,relative,bert-base-multilingual-cased,True,False,multi,35.22,23.65,26.2,17.63,0.0,84.55,nan,48.8,nan,nan,64.88
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,bert-base-multilingual-cased,False,True,single,13.74,12.46,0.37,0.0,0.0,52.25,34.08,nan,nan,nan,nan
UD_Vietnamese-VTB,absolute,xlm-roberta-base,True,True,multi,12.41,6.56,4.78,2.04,0.0,66.44,nan,25.08,nan,nan,49.34
UD_Bhojpuri-BHTB,relative,bert-base-multilingual-cased,False,True,single,33.17,24.07,15.43,0.22,0.0,54.78,33.51,nan,nan,nan,nan
UD_Vietnamese-VTB,absolute,bert-base-multilingual-cased,True,False,multi,22.71,15.7,13.51,7.21,0.0,84.57,nan,25.7,nan,nan,64.69
UD_Basque-BDT,2-planar-brackets-greedy,bert-base-multilingual-cased,True,True,multi,25.09,15.71,9.85,0.67,0.0,67.05,nan,nan,42.29,94.13,55.8
UD_Vietnamese-VTB,2-planar-brackets-greedy,xlm-roberta-base,True,False,single,15.78,8.41,11.21,8.13,0.0,74.44,31.24,nan,nan,nan,nan
UD_Bhojpuri-BHTB,absolute,bert-base-multilingual-cased,False,True,single,3.41,1.38,1.27,0.0,0.0,54.02,16.68,nan,nan,nan,nan
UD_Vietnamese-VTB,2-planar-brackets-greedy,xlm-roberta-base,True,False,multi,30.23,20.59,18.6,10.83,0.0,75.25,nan,nan,42.43,99.54,60.32
UD_Basque-BDT,relative,bert-base-multilingual-cased,True,True,multi,28.35,17.49,11.84,0.84,0.0,66.95,nan,40.34,nan,nan,55.85
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,xlm-roberta-base,False,True,single,13.1,11.29,0.38,0.0,0.0,49.52,33.46,nan,nan,nan,nan
UD_Vietnamese-VTB,relative,xlm-roberta-base,True,False,single,24.03,14.16,16.24,11.76,0.0,74.62,35.77,nan,nan,nan,nan
UD_Vietnamese-VTB,relative,xlm-roberta-base,True,False,multi,29.35,16.51,19.32,12.84,0.0,75.11,nan,46.01,nan,nan,59.98
UD_Basque-BDT,absolute,bert-base-multilingual-cased,True,True,multi,15.91,9.43,6.91,0.48,0.0,66.9,nan,26.68,nan,nan,55.75
UD_Bhojpuri-BHTB,relative,xlm-roberta-base,False,True,single,30.46,22.15,13.94,0.3,0.0,49.95,32.22,nan,nan,nan,nan
UD_Vietnamese-VTB,absolute,xlm-roberta-base,True,False,single,6.97,1.97,1.15,0.77,0.0,74.93,18.83,nan,nan,nan,nan
UD_Vietnamese-VTB,absolute,xlm-roberta-base,True,False,multi,19.0,12.64,10.83,5.21,0.0,74.24,nan,23.71,nan,nan,59.05
UD_Bhojpuri-BHTB,absolute,xlm-roberta-base,False,True,single,4.95,1.54,1.34,0.0,0.0,49.9,16.49,nan,nan,nan,nan
UD_Basque-BDT,2-planar-brackets-greedy,bert-base-multilingual-cased,True,False,single,52.01,41.94,37.76,5.57,0.0,88.9,49.43,nan,nan,nan,nan
UD_Basque-BDT,2-planar-brackets-greedy,xlm-roberta-base,True,True,multi,23.89,14.96,9.88,0.57,0.0,65.61,nan,nan,42.36,94.16,55.25
UD_Kiche-IU,2-planar-brackets-greedy,bert-base-multilingual-cased,False,True,single,51.8,36.81,23.93,5.0,0.0,74.59,53.22,nan,nan,nan,nan
UD_Basque-BDT,2-planar-brackets-greedy,bert-base-multilingual-cased,True,False,multi,51.55,41.71,37.9,5.01,0.01,88.88,nan,nan,55.57,94.17,76.4
UD_Basque-BDT,relative,bert-base-multilingual-cased,True,False,single,44.65,37.63,34.36,5.09,0.0,88.85,46.45,nan,nan,nan,nan
UD_Kiche-IU,relative,bert-base-multilingual-cased,False,True,single,47.68,36.49,29.0,6.85,0.0,74.54,50.89,nan,nan,nan,nan
UD_Basque-BDT,relative,xlm-roberta-base,True,True,multi,26.59,16.32,11.24,0.77,0.0,65.6,nan,39.49,nan,nan,55.44
UD_Basque-BDT,relative,bert-base-multilingual-cased,True,False,multi,44.14,35.28,32.28,4.37,0.0,88.9,nan,49.7,nan,nan,76.35
UD_Kiche-IU,absolute,bert-base-multilingual-cased,False,True,single,32.46,20.55,16.77,1.41,0.0,74.23,45.89,nan,nan,nan,nan
UD_Basque-BDT,absolute,bert-base-multilingual-cased,True,False,single,19.56,13.51,10.57,1.31,0.0,88.9,26.19,nan,nan,nan,nan
UD_Basque-BDT,absolute,bert-base-multilingual-cased,True,False,multi,33.35,27.44,22.76,3.25,0.01,88.91,nan,28.96,nan,nan,76.35
UD_Basque-BDT,absolute,xlm-roberta-base,True,True,multi,14.84,8.84,6.85,0.47,0.0,65.58,nan,26.7,nan,nan,55.33
UD_Kiche-IU,2-planar-brackets-greedy,xlm-roberta-base,False,True,single,48.2,32.85,21.88,4.26,0.0,73.57,51.38,nan,nan,nan,nan
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,bert-base-multilingual-cased,False,True,multi,13.21,10.6,1.02,0.0,0.0,54.88,nan,nan,41.78,92.93,47.66
UD_Basque-BDT,2-planar-brackets-greedy,xlm-roberta-base,True,False,single,48.31,37.43,33.84,4.51,0.0,85.89,42.31,nan,nan,nan,nan
UD_Kiche-IU,relative,xlm-roberta-base,False,True,single,46.79,35.47,28.12,6.44,0.0,73.47,50.0,nan,nan,nan,nan
UD_Bhojpuri-BHTB,relative,bert-base-multilingual-cased,False,True,multi,32.69,22.47,14.84,0.29,0.0,54.16,nan,42.83,nan,nan,48.14
UD_Basque-BDT,2-planar-brackets-greedy,xlm-roberta-base,True,False,multi,47.49,37.64,34.01,4.23,0.01,85.83,nan,nan,49.4,94.17,73.23
UD_Bhojpuri-BHTB,absolute,bert-base-multilingual-cased,False,True,multi,1.76,0.64,0.5,0.0,0.0,52.39,nan,21.37,nan,nan,45.65
UD_Kiche-IU,absolute,xlm-roberta-base,False,True,single,32.3,20.55,17.82,1.54,0.0,73.21,45.33,nan,nan,nan,nan
UD_Basque-BDT,relative,xlm-roberta-base,True,False,single,36.5,29.48,24.52,3.57,0.0,85.85,41.31,nan,nan,nan,nan
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,xlm-roberta-base,False,True,multi,12.62,10.49,0.59,0.0,0.0,51.34,nan,nan,43.16,93.88,47.23
